"","knr","aar","knavn","pm2","Menn_ya_p","Kvinner_ya_p","Total_ya_p","inc_k1","inc_k5","uni_k_mf","uni_k_m","uni_k_f","uni_l_mf","uni_l_m","uni_l_f","Trade_p"
"565","0517","2012","Sel",9243,56.9499341238472,55.1082543978349,56.041388518024,24.2,10.4,14.7,10.5,18.9,2.4,2.9,2,90203
"566","0517","2013","Sel",10082,56.9813829787234,54.6875,55.8467741935484,24.8,11.3,14.8,10.6,19.2,2.5,3,2,85830
"567","0517","2014","Sel",11321,57.2422936692078,55.1910720324653,56.2269835955808,25.1,11,14.9,10.7,19.4,2.8,3,2.5,89256
"568","0517","2015","Sel",10405,57.1334431630972,54.8805460750853,56.0268231349539,25.2,11,15.1,10.7,19.8,3.1,3.3,2.8,92473
"569","0517","2016","Sel",11452,57.0099667774086,53.7777777777778,55.4170176916596,25.3,11.1,15.4,11,19.9,3.4,3.6,3.1,91530
"570","0517","2017","Sel",11597,56.9369973190349,53.3083219645293,55.1386071670047,23.9,11.6,16,11.3,20.7,3.2,3.5,3,90485
"571","0520","2008","Ringebu",8349,58.3992963940194,54.251550044287,56.3327449249779,23.2,13.3,12.9,9.5,16.2,2.8,3.2,2.4,56211
"572","0520","2009","Ringebu",8780,58.4249890013198,54.5936395759717,56.5131143927706,24.7,12.3,13,9.6,16.4,3,3.2,2.8,63542
"573","0520","2010","Ringebu",8163,58.0376697328077,54.0097474523704,56.0352422907489,25,13.1,13.5,9.8,17.1,3.1,3.3,2.8,65671
"574","0520","2011","Ringebu",9110,59.0265486725664,53.9634146341463,56.4749780509219,24.4,12.3,14.1,10.2,18,2.9,3,2.7,67094
"575","0520","2012","Ringebu",9624,58.6994727592267,54.0481400437637,56.369217276913,24.1,12.2,14.3,9.9,18.7,2.9,2.9,2.9,68475
"576","0520","2013","Ringebu",9427,58.5376727596968,54.1056369285397,56.3167259786477,25.9,13.2,14.4,10.1,18.5,2.9,2.8,3,71422
"577","0520","2014","Ringebu",9321,58.2631812140009,53.7086684539768,55.9955506117909,25.4,12.1,14.9,10.9,19,3.2,3,3.4,74928
"578","0520","2015","Ringebu",9567,58.0905423576871,52.8725314183124,55.4832922179861,26.1,13.3,15.2,10.8,19.8,3.4,3.6,3.3,77230
"579","0520","2016","Ringebu",10893,57.850133809099,53.2882882882883,55.5804571940834,25.4,13.1,15.8,11.2,20.5,3.6,3.5,3.7,90473
"580","0520","2017","Ringebu",11665,57.3653760569648,52.8159645232816,55.0866281652599,24.2,14.3,16.2,11.1,21.3,3.7,3.4,4,83582
"581","0521","2008","Øyer",12158,58.3631307111641,55.9286898839138,57.1718401298438,18.6,16,16.1,12.2,20.2,3.5,4.4,2.6,46868
"582","0521","2009","Øyer",11173,59.0818363273453,56.2189054726368,57.6774455969087,19.1,15,16.4,12.4,20.7,3.6,4.6,2.5,52592
"583","0521","2010","Øyer",14455,59.4743036484896,56.5022421524664,58.0167932826869,21.1,14.6,16.5,12.3,20.9,3.7,4.5,2.9,52857
"584","0521","2011","Øyer",13649,59.7003457548982,56.8501406187224,58.3071484681854,20.8,14.3,17,12.6,21.6,3.9,4.8,3,51379
"585","0521","2012","Øyer",14679,60.2834163155879,56.4009661835749,58.3905789990187,22.3,14,17.3,12.7,22.2,4.1,5,3.2,53836
"586","0521","2013","Øyer",14981,60.6938619900877,56.3130294473578,58.5652685221482,22.5,15.3,17.7,13.1,22.5,4.1,4.9,3.2,55711
"587","0521","2014","Øyer",15109,60.5828220858896,56.204673650282,58.4479371316306,22.3,14.9,18.4,13.6,23.4,4.7,5.5,3.9,58853
